name,value,year,lastValue,rank
Val Kilmer,27,2013,0,1
Michael Madsen,21,2013,2,2
Brian Cox,21,2013,1,3
Steven Seagal,19,2013,3,4
Jason Statham,19,2013,0,5
Val Kilmer,25,2014,0,1
Danny Trejo,23,2014,0,2
Jason Statham,22,2014,4,3
Stephen McHattie,21,2014,0,4
Michael Madsen,20,2014,1,5
Danny Trejo,27,2015,1,1
Stephen McHattie,24,2015,3,2
Peter Stormare,22,2015,0,3
Val Kilmer,22,2015,0,4
Bruce Willis,21,2015,0,5
Danny Trejo,29,2016,0,1
Vinnie Jones,25,2016,0,2
Stephen McHattie,23,2016,1,3
Michael Paré,23,2016,0,4
Val Kilmer,22,2016,3,5
Danny Trejo,32,2017,0,1
Michael Paré,25,2017,3,2
Vinnie Jones,25,2017,1,3
Joel Kinnaman,24,2017,0,4
Bruce Willis,21,2017,0,5
Danny Trejo,30,2018,0,1
Michael Paré,24,2018,1,2
Joel Kinnaman,24,2018,3,3
Eric Roberts,23,2018,0,4
Vinnie Jones,23,2018,2,5
